,name,game_participate,minutes,pts,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
0,Aaron Gordon,75,31.7,3.1,1.1,2.9,37.0,0.9,2.6,36.0,53.2
1,Aaron Henry,6,2.8,0.0,0.0,0.0,-,0.0,0.0,-,-
2,Aaron Holiday,63,16.2,1.2,0.4,1.2,34.7,0.4,1.2,35.1,52.0
3,Aaron Nesmith,52,11.0,1.7,0.6,2.0,29.1,0.5,1.9,28.6,42.7
4,Aaron Wiggins,50,24.2,2.3,0.8,2.5,31.0,0.8,2.5,31.0,46.4
5,Abdel Nader,14,10.4,0.9,0.3,0.8,36.4,0.3,0.8,36.4,54.5
6,Ade Murkey,1,1.5,0.0,0.0,0.0,-,-,-,-,-
7,Admiral Schofield,38,12.3,1.9,0.7,1.9,34.2,0.6,1.9,33.8,50.7
8,Ahmad Caver,1,0.8,0.0,0.0,0.0,-,-,-,-,-
9,Al Horford,69,29.1,4.1,1.5,4.1,35.7,1.2,3.6,32.8,49.8
10,Alec Burks,81,28.6,3.9,1.3,3.1,41.9,1.2,3.0,41.8,61.7
11,Aleem Ford,5,14.7,1.2,0.4,3.0,13.3,0.4,3.0,13.3,20.0
12,Aleksej Pokusevski,61,20.2,2.6,0.9,2.9,30.3,0.9,2.8,31.0,44.9
13,Alex Caruso,41,28.0,2.7,0.9,2.6,34.6,0.9,2.5,35.6,51.9
14,Alex Len,39,15.9,0.8,0.3,1.0,34.2,0.2,0.5,28.6,42.1
15,Alfonzo McKinnie,17,12.1,1.6,0.5,1.5,34.6,0.5,1.5,36.0,51.9
16,Alize Johnson,23,7.3,0.1,0.0,0.2,25.0,0.0,0.1,0.0,25.0
17,Alperen Sengun,72,20.7,1.2,0.4,1.4,29.8,0.4,1.3,27.7,42.3
18,Amir Coffey,69,22.7,3.6,1.2,3.1,38.7,1.2,3.0,38.9,57.8
19,Andre Drummond,73,19.7,0.0,0.0,0.1,20.0,0.0,0.0,-,20.0
20,Andre Iguodala,31,19.4,1.5,0.5,1.9,25.0,0.5,1.9,25.4,37.5
21,Andrew Wiggins,73,31.9,5.4,1.8,4.5,41.2,1.8,4.3,41.0,60.9
22,Anfernee Simons,57,29.5,5.7,1.9,4.0,47.8,1.9,4.0,47.8,71.5
23,Anthony Davis,40,35.1,2.6,1.2,3.5,33.6,0.3,1.6,17.5,37.5
24,Anthony Edwards,72,34.2,4.0,1.4,3.3,42.1,1.3,3.1,41.3,61.7
25,Anthony Gill,44,10.5,1.0,0.3,0.6,55.6,0.3,0.6,53.8,81.5
26,Anthony Lamb,2,3.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,Armoni Brooks,54,15.6,2.5,0.8,2.8,30.0,0.8,2.8,30.0,45.0
28,Arnoldas Kulboka,2,2.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
29,Austin Reaves,61,23.2,2.4,0.8,2.2,36.0,0.8,2.2,35.6,53.3
30,Austin Rivers,67,22.1,2.7,0.9,2.4,37.0,0.9,2.4,37.0,55.6
31,Avery Bradley,62,22.7,3.6,1.2,3.0,40.7,1.1,2.9,38.5,59.0
32,Ayo Dosunmu,77,27.4,2.8,0.9,2.4,38.9,0.9,2.3,38.4,57.3
33,BJ Johnson,4,16.1,4.0,1.5,3.0,50.0,1.0,2.3,44.4,66.7
34,Bam Adebayo,56,32.6,0.9,0.5,1.2,38.8,0.0,0.0,0.0,38.8
35,Ben McLemore,64,20.1,6.2,2.1,5.6,37.8,2.0,5.2,37.7,55.5
36,Bismack Biyombo,36,14.1,0.1,0.0,0.2,12.5,-,-,-,12.5
37,Blake Griffin,56,17.1,1.7,0.6,2.2,25.6,0.6,2.1,26.3,38.4
38,Boban Marjanovic,23,5.6,0.5,0.2,0.6,38.5,0.0,0.2,25.0,42.3
