Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Russell Westbrook,OKC,26,67,40,27,34.4,28.1,22.0,42.6,4.3,29.9,9.8,83.5,1.9,5.4,7.3,8.6,4.4,2.1,0.2,2.7,52.3,31,11,3.7,2015,3,True,0.6
James Harden,HOU,25,81,56,25,36.8,27.4,18.1,44.0,6.9,37.5,10.2,86.8,0.9,4.7,5.7,7.0,4.0,1.9,0.7,2.6,48.6,21,4,4.1,2015,2,True,0.69
Kevin Durant,OKC,26,27,18,9,33.8,25.4,17.3,51.0,5.9,40.3,6.3,85.4,0.6,6.0,6.6,4.1,2.7,0.9,0.9,1.5,42.1,5,0,6.2,2015,5,False,0.67
LeBron James,CLE,30,69,50,19,36.1,25.3,18.5,48.8,4.9,35.4,7.7,71.0,0.7,5.3,6.0,7.4,3.9,1.6,0.7,2.0,46.5,22,2,7.8,2015,10,True,0.72
Anthony Davis,NOP,22,68,39,29,36.1,24.4,17.6,53.5,0.2,8.3,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,51.8,42,0,3.9,2015,0,True,0.57
Carmelo Anthony,NYK,31,40,10,30,35.7,24.2,20.2,44.4,4.5,34.1,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1.0,0.4,2.2,38.7,5,0,-2.7,2015,6,False,0.25
DeMarcus Cousins,SAC,24,59,23,36,34.1,24.1,18.1,46.7,0.1,25.0,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,50.1,47,2,1.0,2015,0,True,0.39
Stephen Curry,GSW,27,80,67,13,32.7,23.8,16.8,48.7,8.1,44.3,4.2,91.4,0.7,3.6,4.3,7.7,3.1,2.0,0.2,2.0,44.1,23,0,11.5,2015,1,True,0.84
LaMarcus Aldridge,POR,29,71,48,23,35.4,23.4,19.9,46.6,1.5,35.2,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1.0,1.8,41.5,39,0,4.8,2015,2,True,0.68
Kobe Bryant,LAL,36,35,10,25,34.5,22.3,20.4,37.3,5.3,29.3,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,1.9,38.6,4,2,-8.4,2015,15,False,0.29
Blake Griffin,LAC,26,67,47,20,35.2,21.9,17.1,50.2,0.4,40.0,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,41.1,18,0,8.7,2015,3,True,0.7
Kyrie Irving,CLE,23,75,52,23,36.4,21.7,16.5,46.8,5.0,41.5,4.9,86.3,0.7,2.4,3.2,5.2,2.5,1.5,0.3,1.9,36.2,6,0,5.6,2015,0,True,0.69
Klay Thompson,GSW,25,77,64,13,31.9,21.7,16.9,46.3,7.1,43.9,3.3,87.9,0.4,2.9,3.2,2.9,1.9,1.1,0.8,1.6,33.6,1,0,10.1,2015,0,True,0.83
Dwyane Wade,MIA,33,62,28,34,31.8,21.5,17.5,47.0,1.6,28.4,6.0,76.8,0.9,2.6,3.5,4.8,3.4,1.2,0.3,1.7,34.1,3,0,-0.9,2015,8,False,0.45
Chris Bosh,MIA,31,44,19,25,35.4,21.1,16.9,46.0,3.8,37.5,5.3,77.2,1.0,6.0,7.0,2.2,2.2,0.9,0.6,1.6,35.1,7,0,-2.3,2015,1,False,0.43
Rudy Gay,SAC,28,68,25,43,35.4,21.1,16.4,45.5,3.2,35.9,5.8,85.8,1.4,4.4,5.9,3.7,2.7,1.0,0.6,2.3,35.9,2,0,-1.6,2015,0,False,0.37
Damian Lillard,POR,24,82,51,31,35.7,21.0,16.6,43.4,7.0,34.3,4.9,86.4,0.6,4.0,4.6,6.2,2.7,1.2,0.3,2.0,37.4,6,0,3.7,2015,1,False,0.62
DeMar DeRozan,TOR,25,60,37,23,35.0,20.1,16.5,41.3,1.5,28.4,7.2,83.2,0.7,3.9,4.6,3.5,2.3,1.2,0.2,2.0,32.8,4,0,2.2,2015,0,False,0.62
Jimmy Butler,CHI,25,65,40,25,38.7,20.0,14.0,46.2,3.0,37.8,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,37.4,4,0,3.7,2015,0,False,0.62
Kevin Martin,MIN,32,39,11,28,33.4,20.0,16.0,42.7,4.9,39.3,4.9,88.1,0.5,3.2,3.6,2.3,1.9,0.8,0.0,1.9,28.4,0,0,-6.5,2015,0,False,0.28
Nikola Vucevic,ORL,24,74,21,53,34.2,19.3,16.3,52.3,0.1,33.3,2.9,75.2,3.2,7.7,10.9,2.0,2.0,0.7,0.7,3.0,37.8,45,0,-4.1,2015,0,False,0.28
Gordon Hayward,UTA,25,76,35,41,34.4,19.3,14.3,44.5,4.3,36.4,6.1,81.2,0.7,4.2,4.9,4.1,2.7,1.4,0.4,1.7,34.1,2,0,1.4,2015,0,False,0.46
Chris Paul,LAC,30,82,56,26,34.8,19.1,14.3,48.5,4.3,39.8,3.9,90.0,0.6,4.0,4.6,10.2,2.3,1.9,0.2,2.5,43.8,40,1,8.9,2015,6,True,0.68
Monta Ellis,DAL,29,80,50,30,33.7,18.9,16.9,44.5,3.6,28.5,3.8,75.2,0.4,2.0,2.4,4.1,2.5,1.9,0.3,2.5,31.9,3,0,2.7,2015,0,False,0.62
Pau Gasol,CHI,34,78,48,30,34.4,18.5,14.8,49.4,0.3,46.2,4.7,80.3,2.8,9.0,11.8,2.7,2.0,0.3,1.9,1.9,41.3,54,0,2.4,2015,3,True,0.62
Victor Oladipo,ORL,23,72,22,50,35.7,17.9,15.1,43.6,3.4,33.9,4.4,81.9,0.7,3.5,4.2,4.1,2.8,1.7,0.3,2.6,32.1,3,0,-4.2,2015,0,False,0.31
Kyle Lowry,TOR,29,70,43,27,34.5,17.8,14.9,41.2,5.6,33.8,4.5,80.8,0.8,3.9,4.7,6.8,2.5,1.6,0.2,3.0,36.3,13,2,2.9,2015,0,False,0.61
