,0,1,year
0,N. Jokić ,15.24),2022
1,G. Antetokounmpo ,12.92),2022
2,J. Embiid ,12.05),2022
3,R. Gobert ,11.67),2022
4,K. Towns ,10.28),2022
5,T. Young ,9.98),2022
6,R. Williams ,9.86),2022
7,J. Tatum ,9.62),2022
8,C. Paul ,9.36),2022
9,J. Butler ,9.18),2022
10,N. Jokić ,15.62),2021
11,R. Gobert ,11.29),2021
12,D. Lillard ,10.44),2021
13,G. Antetokounmpo ,10.23),2021
14,J. Butler ,9.28),2021
15,C. Paul ,9.19),2021
16,S. Curry ,9.00),2021
17,K. Leonard ,8.79),2021
18,B. Adebayo ,8.78),2021
19,J. Embiid ,8.77),2021
20,J. Harden ,13.12),2020
21,D. Lillard ,11.58),2020
22,G. Antetokounmpo ,11.14),2020
23,A. Davis ,11.11),2020
24,R. Gobert ,10.73),2020
25,N. Jokić ,9.85),2020
26,L. James ,9.84),2020
27,J. Butler ,9.00),2020
28,C. Paul ,8.89),2020
29,L. Dončić ,8.82),2020
30,J. Harden ,15.19),2019
31,R. Gobert ,14.36),2019
32,G. Antetokounmpo ,14.35),2019
33,D. Lillard ,12.13),2019
34,P. George ,11.89),2019
35,N. Jokić ,11.80),2019
36,K. Durant ,11.50),2019
37,C. Capela ,10.80),2019
38,K. Towns ,10.44),2019
39,N. Vučević ,10.07),2019
40,J. Harden ,15.37),2018
41,K. Towns ,14.00),2018
42,L. James ,13.95),2018
43,A. Davis ,13.70),2018
44,D. Lillard ,12.61),2018
45,G. Antetokounmpo ,11.91),2018
46,L. Aldridge ,10.95),2018
47,N. Jokić ,10.72),2018
48,K. Durant ,10.42),2018
49,A. Drummond ,10.31),2018
50,J. Harden ,15.05),2017
51,R. Gobert ,14.29),2017
52,J. Butler ,13.82),2017
53,K. Leonard ,13.61),2017
54,R. Westbrook ,13.08),2017
55,L. James ,12.87),2017
56,K. Towns ,12.66),2017
57,S. Curry ,12.59),2017
58,I. Thomas ,12.55),2017
59,G. Antetokounmpo ,12.44),2017
60,S. Curry ,17.87),2016
61,K. Durant ,14.48),2016
62,R. Westbrook ,14.05),2016
63,K. Leonard ,13.75),2016
64,L. James ,13.64),2016
65,J. Harden ,13.28),2016
66,C. Paul ,12.75),2016
67,K. Lowry ,11.63),2016
68,D. Jordan ,11.52),2016
69,D. Green ,11.11),2016
70,J. Harden ,16.44),2015
71,C. Paul ,16.08),2015
72,S. Curry ,15.68),2015
73,A. Davis ,14.03),2015
74,D. Jordan ,12.76),2015
75,J. Butler ,11.20),2015
76,R. Westbrook ,10.65),2015
77,D. Lillard ,10.58),2015
78,P. Gasol ,10.42),2015
79,K. Irving ,10.40),2015
80,K. Durant ,19.22),2014
81,L. James ,15.94),2014
82,K. Love ,14.29),2014
83,S. Curry ,13.36),2014
84,J. Harden ,12.80),2014
85,B. Griffin ,12.23),2014
86,C. Paul ,12.19),2014
87,K. Lowry ,11.72),2014
88,J. Noah ,11.16),2014
89,D. Jordan ,11.10),2014
90,L. James ,19.30),2013
91,K. Durant ,18.90),2013
92,C. Paul ,13.95),2013
93,J. Harden ,12.81),2013
94,R. Westbrook ,11.65),2013
95,M. Gasol ,11.49),2013
96,S. Curry ,11.19),2013
97,K. Bryant* ,10.91),2013
98,D. Williams ,10.87),2013
99,B. Griffin ,10.61),2013
