,name,position,GP,DFG_percent,DIFF_percent,year
0,Jarron Cumberland,G,1,0.0,-59.3,2022
1,Sekou Doumbouya,F,2,0.0,-56.2,2022
2,Carlik Jones,G,5,0.0,-55.9,2022
3,Joel Ayayi,G,4,0.0,-52.5,2022
4,Damyean Dotson,G,1,0.0,-52.2,2022
5,Sam Dekker,F,1,0.0,-49.6,2022
6,Jared Harper,G,4,0.0,-49.2,2022
7,Scotty Hopson,G-F,1,0.0,-46.0,2022
8,Jordan Schakel,G,4,0.0,-43.5,2022
9,Jay Huff,F,4,14.3,-38.3,2022
10,Daniel Oturu,C,2,28.6,-36.7,2022
11,Sam Hauser,F,16,19.0,-36.0,2022
12,Anthony Lamb,F,2,33.3,-26.1,2022
13,Tacko Fall,C,8,30.0,-25.5,2022
14,Derrick Walton Jr.,G,3,30.0,-25.2,2022
15,Aaron Henry,F,5,20.0,-22.6,2022
16,Emanuel Terry,F,2,40.0,-21.6,2022
17,Eugene Omoruyi,F,2,50.0,-19.6,2022
18,Deividas Sirvydis,F-G,3,37.5,-19.2,2022
19,Justin Jackson,F,4,40.0,-18.7,2022
20,Marko Simonovic,C,8,40.0,-18.0,2022
21,Yves Pons,F,9,38.5,-17.4,2022
22,Luke Kornet,C-F,12,42.9,-17.2,2022
23,Tony Bradley,C-F,53,43.1,-16.5,2022
24,Haywood Highsmith,F,14,43.5,-15.9,2022
25,BJ Johnson,F,3,40.0,-15.4,2022
26,Xavier Moon,G,10,42.9,-14.9,2022
27,Jemerrio Jones,F,1,50.0,-14.8,2022
28,James Ennis III,F,7,44.4,-13.6,2022
29,Brook Lopez,C,13,47.1,-13.3,2022
30,Robert Woodard II,F,6,45.5,-13.2,2022
31,Mike Muscala,F-C,42,46.3,-13.0,2022
32,Jalen Johnson,F,15,45.0,-12.9,2022
33,Udoka Azubuike,C-F,15,47.9,-12.6,2022
34,Romeo Langford,G-F,46,43.8,-12.6,2022
35,Jaren Jackson Jr.,F-C,78,47.2,-12.5,2022
36,Bruno Fernando,F-C,27,46.4,-12.0,2022
37,Jarrett Allen,C,56,47.7,-11.7,2022
38,Charles Bassey,C-F,20,47.4,-11.4,2022
39,Rudy Gobert,C,66,48.6,-11.1,2022
40,Derrick Rose,G,26,45.6,-11.1,2022
41,Robert Williams III,C-F,61,48.0,-11.0,2022
42,Jaden McDaniels,F,70,47.4,-10.8,2022
43,Cameron McGriff,F,3,50.0,-10.7,2022
44,Vernon Carey Jr.,F-C,4,50.0,-10.6,2022
45,Isaiah Thomas,G,20,45.2,-10.6,2022
46,Enes Freedom,C,35,47.6,-10.5,2022
47,Charlie Brown Jr.,G,10,48.4,-10.4,2022
48,Dylan Windler,G-F,36,46.7,-10.4,2022
49,Wendell Carter Jr.,C-F,62,49.8,-10.3,2022
50,Victor Oladipo,G,8,50.0,-10.0,2022
51,Anthony Gill,F,37,47.8,-10.0,2022
52,Ignas Brazdeikis,F,37,47.7,-10.0,2022
53,Nerlens Noel,C-F,25,52.0,-9.8,2022
54,Josh Okogie,G,43,47.3,-9.8,2022
55,Isaiah Stewart,F-C,71,50.3,-9.7,2022
56,Al Horford,C-F,69,49.1,-9.5,2022
57,Draymond Green,F,45,49.8,-9.4,2022
58,Louis King,F,9,48.1,-9.4,2022
59,Xavier Sneed,F,7,50.0,-9.4,2022
60,Jock Landale,C,48,49.4,-9.3,2022
61,JaVale McGee,C-F,74,49.5,-9.1,2022
62,Evan Mobley,C,69,50.1,-9.0,2022
63,Yuta Watanabe,G-F,34,48.4,-9.0,2022
64,Lindy Waters III,F,24,48.7,-8.9,2022
65,Dean Wade,F-C,49,49.5,-8.8,2022
66,Isaiah Hartenstein,C-F,68,49.9,-8.7,2022
67,Giannis Antetokounmpo,F,67,50.9,-8.6,2022
68,Admiral Schofield,F,35,50.6,-8.6,2022
69,Mitchell Robinson,C-F,72,51.4,-8.5,2022
70,Neemias Queta,C,12,50.0,-8.5,2022
71,Gabriel Deck,F,7,50.0,-8.5,2022
72,Cassius Stanley,G,8,44.4,-8.4,2022
73,Brandon Clarke,F,64,49.4,-8.2,2022
