,0,1
0,Alaa Abdelnaby,F
1,Zaid Abdul-Aziz,C
2,Kareem Abdul-Jabbar,C
3,Mahmoud Abdul-Rauf,G
4,Tariq Abdul-Wahad,F-G
5,Shareef Abdur-Rahim,F
6,Tom Abernethy,F
7,Forest Able,G
8,John Abramovic,F
9,Alex Abrines,G
10,Precious Achiuwa,F
11,Alex Acker,G
12,Donald Ackerman,G
13,Mark Acres,C
14,Charles Acton,F
15,Quincy Acy,F
16,Alvan Adams,C
17,Don Adams,F
18,Hassan Adams,F
19,Jaylen Adams,G
20,Jordan Adams,G
21,Michael Adams,G
22,Steven Adams,C
23,Rafael Addison,F
24,Bam Adebayo,C-F
25,Deng Adel,F
26,Rick Adelman,G
27,Jeff Adrien,F
28,Arron Afflalo,G
29,Maurice Ager,F-G
30,Mark Aguirre,F
31,Blake Ahearn,G
32,Danny Ainge,G
33,Alexis Ajinca,C
34,Henry Akin,C
35,Josh Akognon,G
36,DeVaughn Akoon-Purcell,G
37,Solomon Alabi,C
38,Mark Alarie,F
39,Gary Alcorn,C
40,Santi Aldama,F-C
41,Furkan Aldemir,F-C
42,Cole Aldrich,C
43,LaMarcus Aldridge,C-F
44,Chuck Aleksinas,C
45,Cliff Alexander,F
46,Cory Alexander,G
47,Courtney Alexander,G
48,Gary Alexander,F
49,Joe Alexander,F
50,Kyle Alexander,F-C
51,Ty-Shon Alexander,G
52,Victor Alexander,F
53,Nickeil Alexander-Walker,G
54,Steve Alford,G
55,Rawle Alkins,G
56,Bob Allen,F
57,Grayson Allen,G
58,Jarrett Allen,C
59,Jerome Allen,G
60,Kadeem Allen,G
61,Lavoy Allen,F-C
62,Lucius Allen,G
63,Malik Allen,F
64,Randy Allen,F
65,Ray Allen,G
66,Tony Allen,G-F
67,Odis Allison,F
68,Lance Allred,C
69,Darrell Allums,F
70,Morris Almond,G
71,Derrick Alston,F
72,Rafer Alston,G
73,Peter Aluma,C
74,Jose Alvarado,G
75,John Amaechi,F-C
76,Ashraf Amaya,F
77,Al-Farouq Aminu,F
78,Lou Amundson,F
79,Bob Anderegg,F
80,Chris Andersen,F-C
81,David Andersen,C
82,Alan Anderson,F-G
83,Antonio Anderson,G
84,Cliff Anderson,G
85,Daniel Anderson,G
86,Derek Anderson,G
87,Dwight Anderson,G
88,Eric Anderson,F
89,Greg Anderson,C-F
90,James Anderson,G-F
91,Jerome Anderson,G
92,Justin Anderson,F-G
93,Kenny Anderson,G
94,Kim Anderson,F
95,Kyle Anderson,F-G
96,Michael Anderson,G
97,Mitchell Anderson,F
98,Nick Anderson,F-G
99,Richard Anderson,F
100,Ron Anderson,F
101,Ryan Anderson,F
102,Shandon Anderson,G-F
103,Willie Anderson,G-F
104,Wally Anderzunas,C
105,Martynas Andriuskevicius,C
106,Don Anielak,F
107,Ike Anigbogu,C-F
108,Michael Ansley,F
109,Chris Anstey,C
110,Giannis Antetokounmpo,F
111,Kostas Antetokounmpo,F
112,Thanasis Antetokounmpo,F
113,Carmelo Anthony,F
114,Cole Anthony,G
115,Greg Anthony,G
116,Joel Anthony,C
117,Pero Antic,F-C
118,OG Anunoby,F
119,Keith Appling,G
120,Rafael Araujo,C
121,Stacey Arceneaux,F
122,Nate Archibald,G
123,Robert Archibald,F
124,Ryan Arcidiacono,G
125,Jim Ard,C
126,Gilbert Arenas,G
127,Trevor Ariza,F
128,Paul Arizin,F
129,Joe Arlauckas,F
130,B.J. Armstrong,G
131,Bob Armstrong,C
132,Brandon Armstrong,G
133,Darrell Armstrong,G
134,Hilton Armstrong,F-C
135,Paul Armstrong,G
136,Tate Armstrong,G
137,Jesse Arnelle,F
138,Jay Arnette,G
139,Bob Arnzen,F
140,Carlos Arroyo,G
141,Darrell Arthur,F
142,John Arthurs,G
143,Jamel Artis,G
144,Omer Asik,C
145,Vincent Askew,F
146,Keith Askins,F-G
147,Don Asmonga,G
148,Richard Atha,G
149,Chucky Atkins,G
150,Alvin Attles,G
151,Chet Aubuchon,G
152,Stacey Augmon,F-G
153,D.J. Augustin,G
154,James Augustine,F
155,Ike Austin,C
156,John Austin,G
157,Ken Austin,F
158,Deni Avdija,F
159,Anthony Avent,C
160,William Averitt,G
161,William Avery,G
162,Dennis Awtrey,C
163,Joel Ayayi,G
164,Gustavo Ayon,F-C
165,Jeff Ayres,F-C
166,Deandre Ayton,C
167,Kelenna Azubuike,G
168,Udoka Azubuike,C-F
169,Chris Babb,G
170,Luke Babbitt,F
171,Milos Babic,C
172,Johnny Bach,F
173,Dwayne Bacon,G-F
174,Jim Baechtold,F
175,Dalibor Bagaric,C
176,John Bagley,G
177,Marvin Bagley III,F
178,Carl Bailey,C
179,Gus Bailey,G
180,James Bailey,F
181,Thurl Bailey,F
182,Toby Bailey,G
183,Cameron Bairstow,F-C
184,Mark Baker,G
185,Maurice Baker,G
186,Norm Baker,G
187,Ron Baker,G
188,Vin Baker,F
189,Wade Baldwin IV,G
190,Renaldo Balkman,F
191,Cedric Ball,F
192,LaMelo Ball,G
193,Lonzo Ball,G
194,Greg Ballard,F
195,Herschel Baltimore,F
196,Mo Bamba,C
197,Desmond Bane,G
198,Gene Banks,F
199,Marcus Banks,G
200,Ken Bannister,F
201,Mike Bantom,F
202,Dalano Banton,F
203,Cat Barber,G
204,John Barber,F
205,Leandro Barbosa,G
206,Stephen Bardo,G
207,J.J. Barea,G
208,Andrea Bargnani,C-F
209,Cliff Barker,G
210,Tom Barker,C
211,Charles Barkley,F
212,Erick Barkley,G
213,Don Barksdale,F
214,Harrison Barnes,F
215,Harry Barnes,F
216,Jim Barnes,C
217,Marvin Barnes,F
218,Matt Barnes,F
219,Scottie Barnes,F
220,Dick Barnett,G
221,Jim Barnett,G
222,John Barnhill,G
223,Norton Barnhill,G
224,Leo Barnhorst,F
225,John Barr,F
226,Mike Barr,G
227,Thomas Barr,G
228,Andre Barrett,G
229,Ernie Barrett,G
230,RJ Barrett,F-G
231,Earl Barron,F-C
232,Dana Barros,G
233,Brent Barry,G
234,Drew Barry,G
235,Jon Barry,G
236,Rick Barry,F
237,Ed Bartels,F
238,Vic Bartolome,C
239,Will Barton,G
240,Eddie Basden,G
241,Jerry Baskerville,F
242,Brandon Bass,F
243,Paris Bass,F
244,Tim Bassett,F
245,Charles Bassey,C-F
246,Maceo Baston,F
247,Mengke Bateer,C
248,Billyray Bates,G
249,Keita Bates-Diop,F
250,Esteban Batista,F-C
251,Mike Batiste,F
252,Tony Battie,C
253,Shane Battier,F
254,John Battle,G
255,Kenny Battle,G
256,Dave Batton,C
257,Nicolas Batum,G-F
258,Johnny Baum,F
259,Frankie Baumholtz,G
260,Lonny Baxter,F
261,Jerryd Bayless,G
262,Elgin Baylor,F
263,Aron Baynes,C-F
264,Sergei Bazarevich,G
265,Kent Bazemore,G-F
266,Darius Bazley,F
267,Ed Beach,F
268,Bradley Beal,G
269,Butch Beard,G
270,Ralph Beard,G
271,Jerome Beasley,F
272,Malik Beasley,G
273,Michael Beasley,F
274,Zelmo Beaty,C
275,Rodrigue Beaubois,G
276,Byron Beck,C
277,Corey Beck,G
278,Ernie Beck,G
279,Moe Becker,
280,William Bedford,C
281,Hank Beenders,C
282,Ron Behagen,F
283,Elmer Behnke,C
284,Marco Belinelli,G
285,Charlie Bell,G
286,Dennis Bell,F
287,Jordan Bell,F
288,Raja Bell,G
289,Troy Bell,G
290,William Bell,G
291,Walt Bellamy,C
292,DeAndre' Bembry,G-F
293,Irv Bemoras,F
294,Leon Benbow,G
295,Dragan Bender,F
296,Jonathan Bender,F
297,Jerrelle Benimon,
298,Benoit Benjamin,C
299,Corey Benjamin,G
300,Anthony Bennett,F
301,Elmer Bennett,G
302,Mario Bennett,C-F
303,Mel Bennett,F
304,Tony Bennett,G
305,Winston Bennett,G
306,David Benoit,F
307,Keith Benson,F-C
308,Kent Benson,C
309,Ben Bentil,F
310,Gene Berce,G
311,Gary Bergen,C
312,Ricky Berry,F
313,Walter Berry,F
314,Dairis Bertans,G
315,Davis Bertans,F
316,Del Beshore,G
317,Travis Best,G
318,Patrick Beverley,G
319,Saddiq Bey,F
320,Tyler Bey,F
321,Sim Bhullar,C
322,Al Bianchi,G
323,Hank Biasatti,G
324,Henry Bibby,G
325,Mike Bibby,G
326,Ed Biedenbach,G
327,Andris Biedrins,C
328,Don Bielke,C
329,Bob Bigelow,F
330,Chauncey Billups,G
331,Dave Bing,G
332,Joe Binion,F
333,Khem Birch,C
334,Jabari Bird,G
335,Jerry Bird,F
336,Larry Bird,F
337,Otis Birdsong,G
338,Gale Bishop,F
339,Goga Bitadze,C-F
340,Bismack Biyombo,C
341,Nemanja Bjelica,F
342,Uwe Blab,C
343,Charlie Black,F
344,Norman Black,G
345,Tarik Black,F-C
346,Tom Black,C
347,Rolando Blackman,G
348,Alex Blackwell,F
349,Cory Blackwell,F
350,James Blackwell,G
351,Nate Blackwell,G
352,DeJuan Blair,C-F
353,Steve Blake,G
354,Marqus Blakely,F
355,Antonio Blakeney,G
356,Will Blalock,G
357,George Blaney,G
358,Lance Blanks,G
359,Ricky Blanton,F
360,Andray Blatche,C-F
361,Mookie Blaylock,G
362,Eric Bledsoe,G
363,Keljin Blevins,G
364,Leon Blevins,G
365,John Block,F
366,Mike Bloom,C
367,Jaron Blossomgame,F
368,Corie Blount,F-C
369,Mark Blount,C-F
370,Vander Blue,G
371,Trevon Bluiett,G-F
372,Ray Blume,G
373,Nelson Bobb,G
374,Tony Bobbitt,G
375,Arlen Bockhorn,G
376,Tom Boerwinkle,C
377,Keith Bogans,G-F
378,Bogdan Bogdanovic,G
379,Bojan Bogdanovic,F
380,Muggsy Bogues,G
381,Andrew Bogut,C
382,Etdrick Bohannon,F
383,Bol Bol,C-F
384,Manute Bol,C
385,Jonah Bolden,F
386,Marques Bolden,C
387,Bill Bolger,F
388,Leandro Bolmaro,F
389,Joel Bolomboy,F
390,Doug Bolstorff,G
391,George H. Bon Salle,F
392,Phil Bond,G
393,Walter Bond,G
394,Jordan Bone,G
395,Dexter Boney,G
396,Isaac Bonga,G
397,Ron Bonham,F
398,Anthony Bonner,F
399,Matt Bonner,C-F
400,Devin Booker,G
401,Melvin Booker,G
402,Trevor Booker,F
403,Josh Boone,F-C
404,Ron Boone,G
405,Calvin Booth,C
406,Keith Booth,F
407,Bob Boozer,F
408,Carlos Boozer,F
409,Curtis Borchardt,C
410,Jake Bornheimer,F
411,Lazaro Borrell,F
412,Costic Borsavage,C
413,Vince Boryla,F
414,Chris Bosh,F
415,Jim Bostic,F
416,Lawrence Boston,F
417,Brandon Boston Jr.,G
418,Tom Boswell,F
419,Chris Boucher,F-C
420,James Bouknight,G
421,Ruben Boumtje-Boumtje,C
422,Don Boven,F
423,Cal Bowdler,F
424,Bruce Bowen,F
425,Ryan Bowen,F
426,Brian Bowen II,F-G
427,Anthony Bowie,G
428,Sam Bowie,C
429,Ira Bowman,G
430,Ky Bowman,G
431,Nate Bowman,C
432,Donnie Boyce,G
433,Dennis Boyd,G
434,Fred Boyd,G
435,Ken Boyd,F
436,Earl Boykins,G
437,Harry Boykoff,C
438,Winford Boynes,G
439,Cedric Bozeman,G
440,Steve Bracey,G
441,Craig Brackins,F
442,Gary Bradds,F
443,Alex Bradley,F
444,Alonzo Bradley,F
445,Avery Bradley,G
446,Bill Bradley,F
447,Charles Bradley,G
448,Dudley Bradley,G
449,Joe Bradley,G
450,Michael Bradley,F
451,Shawn Bradley,C
452,Tony Bradley,C-F
453,Mark Bradtke,C
454,Marques Bragg,F
455,Torraye Braggs,F
456,A.J. Bramlett,C
457,Adrian Branch,F
458,Elton Brand,F
459,Terrell Brandon,G
460,Bob Brannum,F
461,Brad Branson,F
462,Jesse Branson,F
463,Jarrell Brantley,F
464,Jim Brasco,G
465,Mike Bratz,G
466,Carl Braun,G
467,Ignas Brazdeikis,F
468,Tim Breaux,F
469,J.R. Bremer,G
470,Pete Brennan,F
471,Tom Brennan,F
472,Randy Breuer,C
473,Corey Brewer,G-F
474,Jamison Brewer,G
475,Jim Brewer,F
476,Ron Brewer,G
477,Ronnie Brewer,F
478,Primoz Brezec,C
479,Frank Brian,G
480,Frank Brickowski,C-F
481,Junior Bridgeman,F
482,Bill Bridges,F
483,Mikal Bridges,F
484,Miles Bridges,F
485,Al Brightman,F
486,Amida Brimah,C
487,Audley Brindley,F
488,Isaiah Briscoe,G
489,John Brisker,F
490,Oshae Brissett,F-G
491,Allan Bristow,F
492,Tyrone Britt,G
493,Wayman Britt,G
494,Mike Brittain,C
495,David Britton,G
496,Jon Brockman,F
497,Ryan Broekhoff,G-F
498,Jim Brogan,G
499,Malcolm Brogdon,G
500,Gary Brokaw,G
501,Price Brookfield,F
502,Aaron Brooks,G
503,Armoni Brooks,G
504,Dillon Brooks,G-F
505,Kevin Brooks,F
506,MarShon Brooks,G-F
507,Michael Brooks,F
508,Scott Brooks,G
509,Andre Brown,F
510,Anthony Brown,F-G
511,Bob Brown,F
512,Bobby Brown,G
513,Bruce Brown,G-F
514,Chucky Brown,F
515,Damone Brown,G
516,Darrell Brown,F
517,Dee Brown,G
518,Dee Brown,G
519,Derrick Brown,F
520,Devin Brown,G
521,Ernest Brown,C
522,Fred Brown,G
523,George Brown,F
524,Gerald Brown,G
525,Harold Brown,G
526,Jabari Brown,G
527,Jaylen Brown,G-F
528,John Brown,F
529,Kedrick Brown,G-F
530,Kwame Brown,C
531,Leon Brown,F
532,Lewis Brown,C
533,Lorenzo Brown,G
