月份,總指數
2012M01,78.08
2012M02,84.12
2012M03,94.57
2012M04,91.46
2012M05,94.52
2012M06,89.29
2012M07,93.73
2012M08,94.56
2012M09,90.79
2012M10,93.24
2012M11,91.5
2012M12,89.69
2013M01,93.72
2013M02,76.99
2013M03,94.27
2013M04,92.27
2013M05,96.85
2013M06,93.53
2013M07,98.68
2013M08,96.79
2013M09,92.74
2013M10,95.18
2013M11,93.03
2013M12,96.24
2014M01,92.29
2014M02,82.7
2014M03,97.33
2014M04,96.54
2014M05,100.65
2014M06,100.25
2014M07,104.17
2014M08,103.99
2014M09,102.47
2014M10,105.4
2014M11,101.28
2014M12,105
2015M01,102.46
2015M02,85.42
2015M03,104.93
2015M04,99.56
2015M05,100.39
2015M06,100.46
2015M07,101.18
2015M08,96.97
2015M09,96.57
2015M10,97.97
2015M11,93.45
2015M12,97.45
2016M01,93.4
2016M02,78.78
2016M03,100.25
2016M04,93.95
2016M05,100.46
2016M06,102.05
2016M07,102.06
2016M08,105.48
2016M09,104.38
2016M10,104.71
2016M11,107.29
2016M12,107.2
2017M01,99.26
2017M02,92.09
2017M03,108.82
2017M04,94.85
2017M05,103.78
2017M06,107.42
2017M07,104.38
2017M08,111.48
2017M09,109.73
2017M10,107.51
2017M11,109.02
2017M12,111.67
2018M01,108.57
2018M02,87.73
2018M03,115.2
2018M04,102.74
2018M05,111.42
2018M06,107.44
2018M07,109.26
2018M08,112.72
2018M09,111.55
2018M10,116.95
2018M11,111.84
2018M12,110.49
2019M01,107.2
2019M02,85.59
2019M03,104.23
2019M04,103.66
2019M05,108.54
2019M06,106.64
2019M07,113.69
2019M08,115.57
2019M09,110.85
2019M10,113.95
2019M11,114.05
2019M12,117.44
2020M01,105.55
2020M02,103.76
2020M03,116.6
2020M04,108.08
2020M05,110.4
2020M06,114.32
2020M07,117.08
2020M08,120.29
2020M09,123.81
2020M10,121.29
2020M11,122.88
2020M12,129.52
2021M01,126.34
2021M02,106.8
2021M03,136.1
2021M04,123.64
2021M05,129.48
2021M06,135.06
2021M07,134.39
2021M08,136.55
2021M09,138.76
2021M10,135.6
2021M11,137.05
2021M12,140.78
2022M01,138.97
