,date,sum_by_month,income_average,¯æ°£,,oil price,steel price,import,export,trafice_index,price_index,price_index_trafic,gdp_growth,gdp(¾è),unemployee_rate,¬Ì±¡,time
0,2012M03,27390,133393,14,90.68,123.15,24000,27194522,8342402,107.07,95.21,97,1.09,0.59,4.17,0,2012/3/1
1,2012M04,23581,130318,14,90.93,119.04,24500,30225862,7773734,109.17,96.09,97.69,1.04,2.6,4.1,0,2012/4/1
2,2012M05,23769,130318,15,91.01,101.75,24500,27769174,8115286,108.16,96.57,97.6,1.04,2.6,4.12,0,2012/5/1
3,2012M06,24943,130318,15,91,96.13,24500,26508428,7578136,106.96,97.19,97.92,1.04,2.6,4.21,0,2012/6/1
4,2012M07,34893,136296,16,90.96,105.35,23000,30329134,7922212,107.33,97.56,98.81,2.18,3.17,4.31,0,2012/7/1
5,2012M08,23374,136296,15,90.97,114.47,23000,27271908,7485408,109.12,98.51,98.6,2.18,3.17,4.4,0,2012/8/1
6,2012M09,17805,136296,20,91.12,111.69,23000,28656090,8408672,109.6,98.19,98.02,2.18,3.17,4.32,0,2012/9/1
7,2012M10,22033,137014,19,91.42,109.2,21800,28477006,7741664,109.59,98.12,97.74,4.48,5.25,4.33,0,2012/10/1
8,2012M11,23304,137014,21,91.97,110.9,21800,23893932,7341176,108.94,97.38,97.53,4.48,5.25,4.27,0,2012/11/1
9,2012M12,27630,137014,22,92.73,110.6,21800,27909336,7792042,108.97,97.62,97.81,4.48,5.25,4.18,0,2012/12/1
10,2013M01,33142,139023,19,93.57,115.63,22500,30215914,8279488,109.25,97.45,98.3,1.5,2.73,4.16,0,2013/1/1
11,2013M02,16774,139023,20,94.4,110.7,22500,23650334,6398038,110.6,97.91,100.61,1.5,2.73,4.24,0,2013/2/1
12,2013M03,22238,139023,18,95.14,108.69,22500,29184268,8960790,109.36,96.5,97.75,1.5,2.73,4.17,0,2013/3/1
13,2013M04,23192,136317,17,95.73,101.92,22662,31656596,7827606,108.76,97.1,98.3,2.68,4.51,4.07,0,2013/4/1
14,2013M05,24014,136317,19,96.12,100.38,22662,28700390,8553446,108.31,97.28,98,2.68,4.51,4.06,0,2013/5/1
15,2013M06,26708,136317,23,96.37,102.29,22662,28764552,9045088,108.32,97.77,98.02,2.68,4.51,4.14,0,2013/6/1
16,2013M07,32391,143769,20,96.56,107.75,22093,27079992,8001058,108.01,97.62,99.31,1.95,3.08,4.25,0,2013/7/1
17,2013M08,19300,143769,20,96.75,114.67,22093,26286976,7857158,108.46,97.74,98.89,1.95,3.08,4.33,0,2013/8/1
18,2013M09,24559,143769,20,97.07,108.28,22093,27712234,7250552,108.94,99.02,97.93,1.95,3.08,4.24,0,2013/9/1
19,2013M10,24181,146089,21,97.6,108.14,22093,30554510,7452884,108.26,98.75,98.27,3.73,5.79,4.24,0,2013/10/1
20,2013M11,29019,146089,21,98.31,110.26,22093,27200058,7653854,107.88,98.04,98.19,3.73,5.79,4.16,0,2013/11/1
21,2013M12,32130,146089,24,99.14,110.55,22093,27160228,7573520,108.18,97.95,98.17,3.73,5.79,4.08,0,2013/12/1
22,2014M01,33938,147923,22,100.01,107.27,22093,27863892,7570100,108.27,98.25,99.88,4.69,5.27,4.02,0,2014/1/1
23,2014M02,15672,147923,25,100.66,108.93,22093,26913100,6876082,108.27,97.87,99.86,4.69,5.27,4.09,0,2014/2/1
24,2014M03,28972,147923,25,101.08,106.95,22093,32666122,8829510,108.4,98.05,98.8,4.69,5.27,4.03,0,2014/3/1
25,2014M04,24637,148307,29,101.3,108.26,22171,29771710,8629634,108.14,98.71,98.83,4.92,6.59,3.91,0,2014/4/1
26,2014M05,30128,148307,24,101.31,109.23,22171,27266722,8161872,108.18,98.86,98.99,4.92,6.59,3.85,0,2014/5/1
27,2014M06,33567,148307,26,101.17,111.75,22171,32749906,8613012,108.52,99.37,99.18,4.92,6.59,3.92,0,2014/6/1
28,2014M07,29077,154111,27,100.97,105.23,22171,31081988,8425790,108.7,99.34,101.03,4.9,6.71,4.02,0,2014/7/1
29,2014M08,18162,154111,29,100.68,102.31,22171,30952902,8210412,108.4,99.77,101.16,4.9,6.71,4.08,0,2014/8/1
30,2014M09,27214,154111,27,100.35,94.74,22171,30464038,7738764,107.48,99.72,100.09,4.9,6.71,3.96,0,2014/9/1
31,2014M10,27426,156923,24,100.07,85.13,21310,28183036,7302810,106.4,99.79,99.92,4.38,7.21,3.95,0,2014/10/1
32,2014M11,28414,156923,25,99.95,70.97,21310,30194832,8009484,105.1,98.88,99.88,4.38,7.21,3.89,0,2014/11/1
33,2014M12,32108,156923,22,99.97,56.21,21310,27445258,7553252,102.85,98.54,99.74,4.38,7.21,3.79,0,2014/12/1
34,2015M01,41065,161809,23,100.04,52.99,20346,33718454,7776198,100.55,97.33,99.74,4.8,9.1,3.71,0,2015/1/1
35,2015M02,23282,161809,24,100.04,62.58,20346,23568812,6236954,101.22,97.67,101.71,4.8,9.1,3.69,0,2015/2/1
36,2015M03,28493,161809,22,99.93,55.11,20346,31728944,8723048,101.5,97.45,98.75,4.8,9.1,3.72,0,2015/3/1
37,2015M04,26728,153007,16,99.75,65.44,18395,28177838,7868306,101.68,97.9,98.77,1.89,4.82,3.63,0,2015/4/1
38,2015M05,28967,153007,18,99.54,62.13,18395,27483700,8079904,102.87,98.14,99.21,1.89,4.82,3.62,0,2015/5/1
39,2015M06,31834,153007,16,99.34,62.05,18395,26927092,7075844,102.61,98.81,99.67,1.89,4.82,3.71,0,2015/6/1
40,2015M07,36999,155723,14,99.12,53.72,17223,26388412,7242644,102.19,98.71,100.95,-0.28,3.61,3.82,0,2015/7/1
41,2015M08,20613,155723,14,98.91,48.81,17223,30318730,7227938,101.05,99.33,100.62,-0.28,3.61,3.9,0,2015/8/1
42,2015M09,16941,155723,14,98.74,48.11,17223,27042050,7358288,100.3,100.01,99.02,-0.28,3.61,3.89,0,2015/9/1
43,2015M10,26418,162828,15,98.65,48.83,17141,27528292,7633918,100.84,100.1,100.54,-0.2,2.45,3.9,0,2015/10/1
44,2015M11,29053,162828,15,98.63,45.78,17141,27751868,7248422,99.94,99.41,100.27,-0.2,2.45,3.91,0,2015/11/1
45,2015M12,29938,162828,14,98.7,35.75,17141,26119208,7264040,98.79,98.67,99.33,-0.2,2.45,3.87,0,2015/12/1
46,2016M01,39873,162832,14,98.87,33.21,16877,26621878,7324734,97.58,98.12,99.76,-0.09,2.43,3.87,0,2016/1/1
47,2016M02,14766,162832,16,99.11,35.95,16877,24435538,7023960,97.88,100.02,101.67,-0.09,2.43,3.95,0,2016/2/1
48,2016M03,28041,162832,16,99.45,38.72,16877,30340016,8642048,98.85,99.41,99.32,-0.09,2.43,3.89,0,2016/3/1
49,2016M04,29100,157784,17,99.86,46.44,18650,28940492,8372358,99.25,99.73,99.57,1.69,2.43,3.86,0,2016/4/1
