 ,物價指數(運輸費)
2012M01,100.41
2012M02,97.31
2012M03,97
2012M04,97.69
2012M05,97.6
2012M06,97.92
2012M07,98.81
2012M08,98.6
2012M09,98.02
2012M10,97.74
2012M11,97.53
2012M12,97.81
2013M01,98.3
2013M02,100.61
2013M03,97.75
2013M04,98.3
2013M05,98
2013M06,98.02
2013M07,99.31
2013M08,98.89
2013M09,97.93
2013M10,98.27
2013M11,98.19
2013M12,98.17
2014M01,99.88
2014M02,99.86
2014M03,98.8
2014M04,98.83
2014M05,98.99
2014M06,99.18
2014M07,101.03
2014M08,101.16
2014M09,100.09
2014M10,99.92
2014M11,99.88
2014M12,99.74
2015M01,99.74
2015M02,101.71
2015M03,98.75
2015M04,98.77
2015M05,99.21
2015M06,99.67
2015M07,100.95
2015M08,100.62
2015M09,99.02
2015M10,100.54
2015M11,100.27
2015M12,99.33
2016M01,99.76
2016M02,101.67
2016M03,99.32
2016M04,99.57
2016M05,99.57
2016M06,100.04
2016M07,101.09
2016M08,100.59
2016M09,99.61
2016M10,99.62
2016M11,99.32
2016M12,99.86
2017M01,101.89
2017M02,100.62
2017M03,100.96
2017M04,101.39
2017M05,101.49
2017M06,101.72
2017M07,103.15
2017M08,102.69
2017M09,100.96
2017M10,101.47
2017M11,101.15
2017M12,101.34
2018M01,102.27
2018M02,105.92
2018M03,103.07
2018M04,101.63
2018M05,100.76
2018M06,103.41
2018M07,109.47
2018M08,108.63
2018M09,101.65
2018M10,101.24
2018M11,101.79
2018M12,101.99
2019M01,103.52
2019M02,104.37
2019M03,101.61
2019M04,102.46
2019M05,101.05
2019M06,102.9
2019M07,107.7
2019M08,104.51
2019M09,99.97
2019M10,100.6
2019M11,100.12
2019M12,100.99
2020M01,104.48
2020M02,100.99
2020M03,101.49
2020M04,99.67
2020M05,98.99
2020M06,100.47
2020M07,104.79
2020M08,104.42
2020M09,101.94
2020M10,106.3
2020M11,110.94
2020M12,110.68
2021M01,111.5
2021M02,113.39
2021M03,113.17
2021M04,114.37
2021M05,114.56
2021M06,115.87
2021M07,117.53
2021M08,117.88
2021M09,118.19
2021M10,119
2021M11,118.64
2021M12,118.71
2022M01,119.51
2022M02,120.03
