,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,單位：民國105年=100,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
101年,96.99,1.93,87.72,4.17,99.28,2.52,99.6,1.16,108.21,0.45,97.21,0.75,99.68,0.69,96.57,2.15
101年1月,96.37,2.36,86.61,4.54,95.77,1.96,98.72,1.24,106.78,-0.96,96.87,1.46,99.5,0.63,100.14,8.41
101年2月,95.09,0.24,84.79,2.13,91.86,1.66,98.61,0.73,106.86,-1.13,96.65,1.07,98.56,-1.42,95.39,-2.96
101年3月,95.21,1.25,84.89,3.1,89.9,2.03,98.81,1.09,107.07,-1.73,96.81,0.89,99,0.64,95.37,1.67
101年4月,96.09,1.44,84.64,2.12,105.91,5.7,98.79,0.94,109.17,0.14,97.08,0.65,99.37,0.93,96.38,2.38
101年5月,96.57,1.75,86.7,3.77,103.73,2.56,98.8,0.83,108.16,-0.49,96.98,0.48,99.65,1.54,96.07,2.22
101年6月,97.19,1.77,88,4.4,100.45,2.07,100.23,1.08,106.96,-1.33,97.26,0.54,99.93,1.24,96.78,1.79
101年7月,97.56,2.46,88.89,6.3,96.38,1.34,100.41,1.17,107.33,0.1,97.21,0.52,101.1,0.88,96.31,2.17
101年8月,98.51,3.42,91.59,8.69,93.27,2.77,100.61,1.27,109.12,1.91,97.19,0.37,100.78,0.92,96.17,1.82
101年9月,98.19,2.96,90.63,6.54,91.91,3.77,100.85,1.45,109.6,2.31,97.22,0.29,99.9,0.81,96.83,1.92
101年10月,98.12,2.34,89.32,4.24,110.33,2.8,99.78,1.39,109.59,2.51,97.49,0.68,100.01,0.94,95.95,1.93
101年11月,97.38,1.59,87.77,2.27,107.47,1.69,99.76,1.32,108.94,1.88,97.65,0.73,99.21,0.57,96.54,2.05
101年12月,97.62,1.61,88.76,1.86,104.35,1.78,99.77,1.34,108.97,2.26,98.05,1.25,99.1,0.52,96.95,2.74
102年,97.76,0.79,88.82,1.25,99.09,-0.19,100.51,0.91,108.69,0.44,98.21,1.03,100.01,0.33,97.07,0.52
102年1月,97.45,1.12,88.66,2.37,99.17,3.55,99.75,1.04,109.25,2.31,97.64,0.79,99.44,-0.06,96.68,-3.46
102年2月,97.91,2.97,87.25,2.9,95.27,3.71,99.91,1.32,110.6,3.5,97.83,1.22,102.3,3.79,100.8,5.67
102年3月,96.5,1.35,85.93,1.23,93.75,4.28,100.01,1.21,109.36,2.14,98.16,1.39,99.05,0.05,96.64,1.33
102年4月,97.1,1.05,86.6,2.32,103.81,-1.98,100,1.22,108.76,-0.38,98.08,1.03,99.62,0.25,96.96,0.6
102年5月,97.28,0.74,87.99,1.49,102.33,-1.35,100.01,1.22,108.31,0.14,98.2,1.26,99.23,-0.42,96.44,0.39
102年6月,97.77,0.6,88.41,0.47,100.13,-0.32,101.1,0.87,108.32,1.27,98.4,1.17,99.73,-0.2,97.27,0.51
102年7月,97.62,0.06,87.75,-1.28,97.09,0.74,101.15,0.74,108.01,0.63,98.4,1.22,101.19,0.09,96.57,0.27
