年月,港口別,總計,進口貨,出口貨,國內貨
200101,國際商港,17401318,11343322,2829038,3228958
200101,高雄港,10321711,7250131,1824702,1246878
200101,臺中港,3217020,2318729,287290,611001
200101,基隆港,2153347,1280255,429653,443439
200101,花蓮港,1339840,343700,241793,754347
200101,蘇澳港,303601,114831,45600,143170
200101,安平港,65799,35676,0,30123
200101,臺北港,0,0,0,0
200102,國際商港,16704269,10858878,3225824,2619567
200102,高雄港,10318195,7383372,1972927,961896
200102,臺中港,3003046,2117631,391600,493815
200102,基隆港,1931021,1061677,495061,374283
200102,花蓮港,1074315,145862,304405,624048
200102,蘇澳港,293385,118150,59830,115405
200102,安平港,84307,32186,2001,50120
200102,臺北港,0,0,0,0
200103,國際商港,19072322,12353635,3469836,3248851
200103,高雄港,11139853,7996483,2083769,1059601
200103,臺中港,3366724,2280665,437523,648536
200103,基隆港,2545816,1505632,563310,476874
200103,花蓮港,1370583,202753,265814,902016
200103,蘇澳港,568932,333602,118380,116950
200103,安平港,80414,34500,1040,44874
200103,臺北港,0,0,0,0
200104,國際商港,20108602,13682099,3564691,2861812
200104,高雄港,11721480,8625213,2146855,949412
200104,臺中港,3650697,2577170,411415,662112
200104,基隆港,3071424,2119255,619807,332362
200104,花蓮港,1263512,175944,310899,776669
200104,蘇澳港,308820,119865,66371,122584
200104,安平港,92669,64652,9344,18673
200104,臺北港,0,0,0,0
200105,國際商港,19452389,13174572,3390106,2887711
200105,高雄港,10653290,7738988,1993501,920801
200105,臺中港,4052651,2995141,436809,620701
200105,基隆港,2828477,1896723,532383,399371
200105,花蓮港,1514786,362218,313533,839035
200105,蘇澳港,354404,144543,106450,103411
200105,安平港,48781,36959,7430,4392
200105,臺北港,0,0,0,0
200106,國際商港,17684070,11472496,3476442,2735132
200106,高雄港,10144609,7123205,2062162,959242
200106,臺中港,3218998,2323130,377493,518375
200106,基隆港,2305216,1358877,563162,383177
200106,花蓮港,1294615,244614,306416,743585
200106,蘇澳港,662495,382547,162352,117596
200106,安平港,58137,40123,4857,13157
200106,臺北港,0,0,0,0
200107,國際商港,19322573,12963781,3180104,3178688
200107,高雄港,11020221,7941106,1913638,1165477
200107,臺中港,4060964,3001180,388326,671458
200107,基隆港,2445568,1500409,545656,399503
200107,花蓮港,1342622,258730,290560,793332
200107,蘇澳港,336516,183682,39324,113510
200107,安平港,116682,78674,2600,35408
200107,臺北港,0,0,0,0
200108,國際商港,18046066,11431082,3146463,3468521
200108,高雄港,10243799,7093305,1941715,1208779
200108,臺中港,3135774,2164749,375110,595915
200108,基隆港,2826111,1714264,552795,559052
200108,花蓮港,1319268,239689,173827,905752
200108,蘇澳港,445886,196375,101130,148381
200108,安平港,75228,22700,1886,50642
200108,臺北港,0,0,0,0
200109,國際商港,18134560,12468586,2928868,2737106
200109,高雄港,10762995,7972604,1875914,914477
200109,臺中港,3919959,2943535,399761,576663
200109,基隆港,2131228,1228334,469624,433270
200109,花蓮港,1047287,244970,153431,648886
200109,蘇澳港,220747,69643,28470,122634
200109,安平港,52344,9500,1668,41176
200109,臺北港,0,0,0,0
200110,國際商港,19448376,12225320,3708405,3514651
200110,高雄港,11455583,8003239,2329183,1123161
200110,臺中港,3282770,2301497,435402,545871
200110,基隆港,2720595,1384816,630349,705430
200110,花蓮港,1473197,268216,291271,913710
200110,蘇澳港,393595,222430,22200,148965
200110,安平港,122636,45122,0,77514
200110,臺北港,0,0,0,0
200111,國際商港,16928426,10804994,2814861,3308571
200111,高雄港,9166242,6718423,1714631,733188
200111,臺中港,3158912,2132644,362121,664147
200111,基隆港,2574821,1429142,530509,615170
200111,花蓮港,1460592,204786,198258,1057548
200111,蘇澳港,486161,302690,7300,176171
200111,安平港,81698,17309,2042,62347
200111,臺北港,0,0,0,0
200112,國際商港,18981423,12302822,3262024,3416577
200112,高雄港,10971253,8104327,1982697,884229
200112,臺中港,3332231,2229119,443768,659344
200112,基隆港,2753338,1520727,571907,660704
200112,花蓮港,1426715,134058,258577,1034080
200112,蘇澳港,360006,226067,5075,128864
200112,安平港,137880,88524,0,49356
200112,臺北港,0,0,0,0
200201,國際商港,17314846,10469800,3449408,3395638
200201,高雄港,9682705,6661415,2128311,892979
200201,臺中港,2745910,1626973,475519,643418
200201,基隆港,2591608,1538636,538754,514218
200201,花蓮港,1614967,220877,290053,1104037
200201,蘇澳港,454865,265596,14375,174894
200201,安平港,224791,156303,2396,66092
200201,臺北港,0,0,0,0
200202,國際商港,15314504,10201241,2628845,2484418
200202,高雄港,8656439,6271726,1590868,793845
200202,臺中港,3014161,2286265,326314,401582
200202,基隆港,1880802,1118301,387953,374548
200202,花蓮港,1265288,264364,267325,733599
200202,蘇澳港,353406,170039,54795,128572
200202,安平港,144408,90546,1590,52272
200202,臺北港,0,0,0,0
200203,國際商港,20725927,13518962,3951283,3255682
200203,高雄港,11774140,8339528,2379428,1055184
200203,臺中港,3683286,2630496,478267,574523
200203,基隆港,2797969,1681417,657339,459213
200203,花蓮港,1839831,420763,427909,991159
200203,蘇澳港,421132,269308,6533,145291
200203,安平港,209569,177450,1807,30312
200203,臺北港,0,0,0,0
200204,國際商港,19389742,12920824,3602300,2866618
200204,高雄港,10756601,7816478,2125320,814803
200204,臺中港,3696350,2804362,429465,462523
200204,基隆港,2701752,1615164,623915,462673
200204,花蓮港,1565429,226852,412168,926409
200204,蘇澳港,457475,260665,9600,187210
200204,安平港,212135,197303,1832,13000
200204,臺北港,0,0,0,0
200205,國際商港,20569129,13844714,3413779,3310636
200205,高雄港,11033377,8027803,2100095,905479
200205,臺中港,4373216,3269275,444309,659632
200205,基隆港,2955079,1749041,617856,588182
200205,花蓮港,1577572,405337,233519,938716
200205,蘇澳港,379261,199622,18000,161639
200205,安平港,250624,193636,0,56988
200205,臺北港,0,0,0,0
200206,國際商港,20198677,13653694,3466464,3078519
200206,高雄港,11399989,8314655,2131891,953443
200206,臺中港,3875139,2982331,402263,490545
200206,基隆港,2815999,1578511,634325,603163
200206,花蓮港,1456493,324226,286119,846148
200206,蘇澳港,428854,278921,8344,141589
200206,安平港,222203,175050,3522,43631
200206,臺北港,0,0,0,0
200207,國際商港,20403367,13565035,3460351,3377981
200207,高雄港,11013381,7970625,2017803,1024953
200207,臺中港,3890178,2865366,405149,619663
200207,基隆港,2823799,1673113,629535,521151
200207,花蓮港,1924350,583037,326100,1015213
200207,蘇澳港,489269,246949,80050,162270
200207,安平港,262390,225945,1714,34731
200207,臺北港,0,0,0,0
200208,國際商港,20247558,13357785,3270933,3618840
200208,高雄港,11203370,8102084,2049397,1051889
200208,臺中港,3721034,2764673,372626,583735
200208,基隆港,2924018,1739165,619145,565708
200208,花蓮港,1600851,247611,163650,1189590
200208,蘇澳港,583225,340752,64500,177973
200208,安平港,215060,163500,1615,49945
200208,臺北港,0,0,0,0
200209,國際商港,21788548,15219299,3466695,3102554
200209,高雄港,11338045,8403207,2040297,894541
200209,臺中港,3951473,3068201,429621,453651
200209,基隆港,3842226,2749731,637072,455423
200209,花蓮港,1938763,573849,232418,1132496
200209,蘇澳港,479709,231757,125897,122055
200209,安平港,238332,192554,1390,44388
200209,臺北港,0,0,0,0
200210,國際商港,20895609,13929430,3515325,3450854
200210,高雄港,11009021,8018694,1990863,999464
200210,臺中港,3671381,2622883,426935,621563
200210,基隆港,3446804,2286693,665167,494944
200210,花蓮港,1851388,363692,350425,1137271
200210,蘇澳港,518738,298394,80014,140330
200210,安平港,398277,339074,1921,57282
200210,臺北港,0,0,0,0
200211,國際商港,20239380,13128583,3626996,3483801
200211,高雄港,11184120,8011423,2154174,1018523
200211,臺中港,3570918,2535843,449555,585520
200211,基隆港,2830453,1680168,633555,516730
200211,花蓮港,1953914,477983,344969,1130962
200211,蘇澳港,385513,168857,42682,173974
200211,安平港,314462,254309,2061,58092
200211,臺北港,0,0,0,0
200212,國際商港,19258926,12021061,3624685,3613180
200212,高雄港,10362337,7205336,2259245,897756
200212,臺中港,3417424,2415081,412657,589686
200212,基隆港,2931682,1633114,675240,623328
200212,花蓮港,1745376,259237,219832,1266307
200212,安平港,444723,365018,2203,77502
200212,蘇澳港,357384,143275,55508,158601
200212,臺北港,0,0,0,0
200301,國際商港,21880761,14937658,3527727,3415376
200301,高雄港,11564391,8491423,2111568,961400
200301,臺中港,4456816,3463257,453472,540087
200301,基隆港,3052906,1853670,567930,631306
200301,花蓮港,1812227,380499,360599,1071129
200301,蘇澳港,565595,362467,30000,173128
200301,安平港,428826,386342,4158,38326
